1.75 1.75 0.625 O
1.25 1.25 0.875 O
1.1063 1.0918 0.5 O
1.6063 1.5918 0.75 O
1.8937 1.0918 0.5 O
1.3937 1.5918 0.75 O
1.1063 1.9082 0.5 O
1.6063 1.4082 0.75 O
1.8937 1.9082 0.5 O
1.3937 1.4082 0.75 O
1.0 1.2094 0.5 O
1.5 1.7094 0.75 O
1.0 1.7906 0.5 O
1.5 1.2906 0.75 O
1.2041 1.0 0.58715 O
1.7041 1.5 0.83715 O
1.7959 1.0 0.58715 O
1.2959 1.5 0.83715 O
1.7959 1.0 0.91285 O
1.2959 1.5 0.66285 O
1.2041 1.0 0.91285 O
1.7041 1.5 0.66285 O
1.2529 1.0 0.75 O
1.7529 1.5 0.5 O
1.7471 1.0 0.75 O
1.2471 1.5 0.5 O
1.3244 1.2018 0.6032 Si
1.8244 1.7018 0.8532 Si
1.6756 1.2018 0.6032 Si
1.1756 1.7018 0.8532 Si
1.3244 1.7982 0.6032 Si
